"Year","County.ANSI","County","Commodity","Data.Item","Value","County.FIPS"
2016,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",958000,NA
2016,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1448000,NA
2016,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",391000,"04021"
2016,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1982000,"04021"
2016,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4453000,"04027"
2015,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",136000,NA
2015,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",978000,"04012"
2015,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2626000,"04013"
2015,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",299000,NA
2015,19,"PIMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",756000,"04019"
2015,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4975000,"04021"
2015,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",5380000,"04027"
2013,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1013000,"04012"
2013,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",9e+05,"04013"
2013,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",461000,NA
2013,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",777000,"04021"
2013,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4397000,"04027"
2011,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",530000,"04012"
2011,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",775000,"04013"
2011,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",432000,NA
2011,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",590000,"04021"
2011,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4945000,"04027"
2010,9,"GRAHAM","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",117000,"04009"
2010,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",368000,"04012"
2010,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1875000,"04013"
2010,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1119000,"04013"
2010,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",530000,NA
2010,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",227000,NA
2010,19,"PIMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",326000,"04019"
2010,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",2681000,"04021"
2010,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",710000,"04021"
2010,27,"YUMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",297000,"04027"
2010,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4725000,"04027"
2009,15,"MOHAVE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",83700,"04015"
2009,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",477200,"04003"
2009,3,"COCHISE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",296000,"04003"
2009,9,"GRAHAM","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",116000,"04009"
2009,12,"LAPAZ","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",151000,"04012"
2009,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",884200,"04012"
2009,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1252800,"04013"
2009,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2218000,"04013"
2009,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",835100,NA
2009,19,"PIMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",176400,"04019"
2009,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",2690800,"04021"
2009,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2090000,"04021"
2009,27,"YUMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",310800,"04027"
2009,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4993000,"04027"
2008,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",42000,NA
2008,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",312400,"04003"
2008,3,"COCHISE","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",1937300,"04003"
2008,3,"COCHISE","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",435600,"04003"
2008,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1128500,"04013"
2008,13,"MARICOPA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",114100,"04013"
2008,13,"MARICOPA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",194600,"04013"
2008,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",115000,NA
2008,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",125500,NA
2008,NA,"OTHER (COMBINED) COUNTIES","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",322800,NA
2008,19,"PIMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",229500,"04019"
2008,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",2794900,"04021"
2008,21,"PINAL","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",256100,"04021"
2008,21,"PINAL","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",1122000,"04021"
2008,27,"YUMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",219700,"04027"
2008,27,"YUMA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",355000,"04027"
2007,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",91000,NA
2007,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",400200,"04003"
2007,3,"COCHISE","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",2983500,"04003"
2007,3,"COCHISE","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",239900,"04003"
2007,9,"GRAHAM","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",94000,"04009"
2007,12,"LAPAZ","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",68000,"04012"
2007,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",662000,"04012"
2007,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1228400,"04013"
2007,13,"MARICOPA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",105000,"04013"
2007,13,"MARICOPA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",211600,"04013"
2007,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1323000,"04013"
2007,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",41100,NA
2007,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",665500,NA
2007,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",8724000,NA
2007,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",295000,NA
2007,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",360000,NA
2007,19,"PIMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",149800,"04019"
2007,19,"PIMA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",243600,"04019"
2007,19,"PIMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",260000,"04019"
2007,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1377500,"04021"
2007,21,"PINAL","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",225000,"04021"
2007,21,"PINAL","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",940700,"04021"
2007,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1951000,"04021"
2007,27,"YUMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",119000,"04027"
2007,27,"YUMA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",96200,"04027"
2007,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",3873000,"04027"
2006,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",15000,NA
2006,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",330000,"04003"
2006,3,"COCHISE","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",1850000,"04003"
2006,3,"COCHISE","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",66000,"04003"
2006,3,"COCHISE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",379200,"04003"
2006,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",350000,"04012"
2006,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",875000,"04013"
2006,13,"MARICOPA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",180000,"04013"
2006,13,"MARICOPA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",175000,"04013"
2006,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1097000,"04013"
2006,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1e+05,NA
2006,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",265000,NA
2006,NA,"OTHER (COMBINED) COUNTIES","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",25000,NA
2006,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",7580000,NA
2006,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",73800,NA
2006,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",180000,NA
2006,19,"PIMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",150000,"04019"
2006,19,"PIMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",264000,"04019"
2006,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1075000,"04021"
2006,21,"PINAL","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",750000,"04021"
2006,21,"PINAL","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",364000,"04021"
2006,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1525000,"04021"
2006,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",3711000,"04027"
2005,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",10000,NA
2005,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",10000,NA
2005,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",550000,"04003"
2005,3,"COCHISE","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",2800000,"04003"
2005,3,"COCHISE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",330000,"04003"
2005,9,"GRAHAM","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",150000,"04009"
2005,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",460000,"04012"
2005,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1120000,"04013"
2005,13,"MARICOPA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",170000,"04013"
2005,13,"MARICOPA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",160000,"04013"
2005,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1430000,"04013"
2005,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",150000,NA
2005,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",170000,NA
2005,NA,"OTHER (COMBINED) COUNTIES","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",90000,NA
2005,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",8050000,NA
2005,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",50000,NA
2005,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",160000,NA
2005,19,"PIMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4e+05,"04019"
2005,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",850000,"04021"
2005,21,"PINAL","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",1e+06,"04021"
2005,21,"PINAL","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",415000,"04021"
2005,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1480000,"04021"
2005,27,"YUMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",330000,"04027"
2005,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",3740000,"04027"
2004,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",5000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",90000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",9000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",9000,NA
2004,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",595000,"04003"
2004,3,"COCHISE","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",3440000,"04003"
2004,3,"COCHISE","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",80000,"04003"
2004,3,"COCHISE","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",350000,"04003"
2004,3,"COCHISE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",255000,"04003"
2004,3,"COCHISE","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",95000,"04003"
2004,9,"GRAHAM","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",195000,"04009"
2004,12,"LAPAZ","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",880000,"04012"
2004,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",880000,"04012"
2004,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1700000,"04013"
2004,13,"MARICOPA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",110000,"04013"
2004,13,"MARICOPA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",156000,"04013"
2004,13,"MARICOPA","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",1590000,"04013"
2004,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1340000,"04013"
2004,13,"MARICOPA","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",250000,"04013"
2004,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",80000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",35000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",24000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",99000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",84000,NA
2004,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",15000,NA
2004,19,"PIMA","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",580000,"04019"
2004,19,"PIMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",580000,"04019"
2004,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1450000,"04021"
2004,21,"PINAL","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",390000,"04021"
2004,21,"PINAL","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",280000,"04021"
2004,21,"PINAL","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",2205000,"04021"
2004,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2205000,"04021"
2004,27,"YUMA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",350000,"04027"
2004,27,"YUMA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",6e+05,"04027"
2004,27,"YUMA","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",4250000,"04027"
2004,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4250000,"04027"
2003,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",1e+05,NA
2003,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",17000,NA
2003,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",17000,NA
2003,3,"COCHISE","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",240000,"04003"
2003,3,"COCHISE","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",3326000,"04003"
2003,3,"COCHISE","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",391000,"04003"
2003,3,"COCHISE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",345000,"04003"
2003,9,"GRAHAM","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",195000,"04009"
2003,9,"GRAHAM","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",98500,"04009"
2003,9,"GRAHAM","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",98500,"04009"
2003,12,"LAPAZ","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",870000,"04012"
2003,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",810000,"04012"
2003,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1643000,"04013"
2003,13,"MARICOPA","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",112000,"04013"
2003,13,"MARICOPA","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",228000,"04013"
2003,13,"MARICOPA","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",1695000,"04013"
2003,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1480000,"04013"
2003,13,"MARICOPA","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU",215000,"04013"
2003,NA,"OTHER (COMBINED) COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",56000,NA
2003,NA,"OTHER (COMBINED) COUNTIES","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU",111000,NA
2003,NA,"OTHER (COMBINED) COUNTIES","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",70000,NA
2003,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU",15000,NA
